language_pair	stage	source_path	release_path	kind	required	status	rows_or_items	bytes	note
en_es	split_summary	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/split_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_es/summaries/split_summary.json	json	False	existing		1548	kept existing packaged file
en_de	raw_vc_manifest	{EXPRESSIVE_S2ST_ROOT}/de_en/seedvc_outputs_netflix_denoised/manifests/vc_manifest.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/filtering/stage_00_raw_vc_manifest.tsv.gz	tsv	True	written	369139	9579587	
en_de	mms_lid_pass	{EXPRESSIVE_S2ST_ROOT}/de_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/lid_pass_manifest.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/filtering/stage_01_mms_lid_pass_manifest.tsv.gz	tsv	True	existing		13294606	kept existing packaged file
en_de	sortformer_single_speaker_pass	{EXPRESSIVE_S2ST_ROOT}/de_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/sortformer_pair_pass_strict.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/filtering/stage_02_sortformer_single_speaker_pass.tsv.gz	tsv	True	existing		10025355	kept existing packaged file
en_de	scale_matched_quality_selection	{EXPRESSIVE_S2ST_ROOT}/de_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/utmos_pre_src_pre_tgt/utmos_filtered_manifest.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/filtering/stage_03_utmos_quality_selected_manifest.tsv.gz	tsv	True	existing		6288191	kept existing packaged file
en_de	mms_lid_summary	{EXPRESSIVE_S2ST_ROOT}/de_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/lid_pass_manifest_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_de/summaries/mms_lid_summary.json	json	False	existing		530	kept existing packaged file
en_de	sortformer_summary	{EXPRESSIVE_S2ST_ROOT}/de_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/sortformer_pair_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_de/summaries/sortformer_summary.json	json	False	existing		1437	kept existing packaged file
en_de	utmos_summary	{EXPRESSIVE_S2ST_ROOT}/de_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/utmos_pre_src_pre_tgt/utmos_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_de/summaries/utmos_summary.json	json	False	existing		2571	kept existing packaged file
en_de	train_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/train.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/train.tsv.gz	tsv	True	existing		10505433	kept existing packaged file
en_de	train_ar_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/train_ar.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/train_ar.tsv.gz	tsv	True	existing		82978388	kept existing packaged file
en_de	train_asr_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/train_asr.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/train_asr.tsv.gz	tsv	False	existing		19071738	kept existing packaged file
en_de	dev_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/dev.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/dev.tsv.gz	tsv	True	existing		1258749	kept existing packaged file
en_de	dev_ar_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/dev_ar.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/dev_ar.tsv.gz	tsv	True	existing		9957400	kept existing packaged file
en_de	dev_asr_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/dev_asr.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/dev_asr.tsv.gz	tsv	False	existing		2283610	kept existing packaged file
en_de	test_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/test.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/test.tsv.gz	tsv	True	existing		40625	kept existing packaged file
en_de	test_ar_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/test_ar.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/test_ar.tsv.gz	tsv	True	existing		312400	kept existing packaged file
en_de	test_asr_split	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/test_asr.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/test_asr.tsv.gz	tsv	False	existing		73021	kept existing packaged file
en_de	all_ar_filtered	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/all_ar_filtered.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_de/splits/all_ar_filtered.tsv.gz	tsv	False	missing			missing optional file
en_de	split_summary	{EXPRESSIVE_S2ST_ROOT}/de_en/transvip_splits/split_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_de/summaries/split_summary.json	json	False	existing		1551	kept existing packaged file
all	filtering_stage_stats	{EXPRESSIVE_S2ST_ROOT}/data_stats/vcdub_filtering_stage_stats/vcdub_filtering_stage_stats.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/vcdub_filtering_stage_stats.tsv.gz	tsv	False	existing		1242	kept existing packaged file
all	filtering_stage_stats_json	{EXPRESSIVE_S2ST_ROOT}/data_stats/vcdub_filtering_stage_stats/vcdub_filtering_stage_stats.json	{VC_DUB_RELEASE_ROOT}/manifests/global/vcdub_filtering_stage_stats.json	json	False	existing		6686	kept existing packaged file
all	threshold_samples	{EXPRESSIVE_S2ST_ROOT}/threshold_samples/utmos_critical/all_utmos_threshold_critical_40.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/threshold_samples/all_utmos_threshold_critical_40.tsv.gz	tsv	False	existing		2090	kept existing packaged file
all	threshold_samples	{EXPRESSIVE_S2ST_ROOT}/threshold_samples/utmos_critical/es_en_utmos_threshold_critical_20.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/threshold_samples/es_en_utmos_threshold_critical_20.tsv.gz	tsv	False	existing		1226	kept existing packaged file
all	threshold_samples	{EXPRESSIVE_S2ST_ROOT}/threshold_samples/utmos_critical/es_en_utmos_threshold_critical_20_audio.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/threshold_samples/es_en_utmos_threshold_critical_20_audio.tsv.gz	tsv	False	existing		666	kept existing packaged file
all	threshold_samples	{EXPRESSIVE_S2ST_ROOT}/threshold_samples/utmos_critical/es_en_dnsmospro_threshold_critical_summary.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/threshold_samples/es_en_dnsmospro_threshold_critical_summary.tsv.gz	tsv	False	existing		548	kept existing packaged file
all	threshold_samples	{EXPRESSIVE_S2ST_ROOT}/threshold_samples/utmos_critical/de_en_utmos_threshold_critical_20.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/threshold_samples/de_en_utmos_threshold_critical_20.tsv.gz	tsv	False	existing		1246	kept existing packaged file
all	threshold_samples	{EXPRESSIVE_S2ST_ROOT}/threshold_samples/utmos_critical/de_en_utmos_threshold_critical_20_audio.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/threshold_samples/de_en_utmos_threshold_critical_20_audio.tsv.gz	tsv	False	existing		732	kept existing packaged file
all	threshold_samples	{EXPRESSIVE_S2ST_ROOT}/threshold_samples/utmos_critical/de_en_dnsmospro_threshold_critical_summary.tsv	{VC_DUB_RELEASE_ROOT}/manifests/global/threshold_samples/de_en_dnsmospro_threshold_critical_summary.tsv.gz	tsv	False	existing		548	kept existing packaged file
